Ak2
Ankrd40
Ash2l
Atad3a
Bap1
Bard1
Bcs1l
Brf1
Chd4
Chmp2a
Chmp5
Chmp6
Cnot1
Cnot3
Crnkl1
Cse1l
Cstf1
Ctps
Cxxc1
Dad1
Dcp2
Dcps
Dctn2
Dctn5
Ddrgk1
Ddx20
Ddx39b
Ddx41
Ddx5
Dmap1
Dnajc11
Dpy30
Efr3a
Ei24
Eny2
Esf1
Etnk1
Fam32A
Fbxo5
Fip1l1
Fnta
Gak
Gcn1l1
Gins1
Haus3
Hcfc1
Kansl1
Kansl3
Kat8
Mad2l2
Mcrs1
Mettl16
Mms22l
Mrpl39
Mta2
Mybbp1a
N6amt1
Naa20
Naa35
Ncor1
Noc2l
Noc4l
Nop16
Nrbp1
Nsl1
Nxf1
Ogt
Oip5
Pabpn1
Paics
Paxip1
Pcgf1
Pdcd5
Pdia6
Pes1
Pet112
Pi4ka
Ppan
Ppp1r8
Ppp4c
Ppp4r2
Psmc6
Rae1
Rbbp4
Rbbp6
Riok1
Riok2
Rnf31
Rrp1
Rtcb
Sap18
Sap30bp
Scap
Sdad1
Sec63
Setd1a
Setd8
Setdb1
Slc52a2
Smg7
Srp72
Srrd
Ss18
Stt3a
Stt3b
Tada2b
Tada3
Taf2
Thap11
Thoc1
Tipin
Toe1
Tonsl
Trnt1
Tsg101
Tti2
Uba6
Ube2d3
Uhrf1
Usp39
Vcp
Vps33a
Wdr33
Wdr48
Wrap53
Xpo5
Xrn1
Ythdc1
Zfp91
Zmynd8
